0 -1 -2 -3 -4 -5 -6 -7 -8 0 0 0 0 0 0 0 0
0 -1 -2 -3 -4 -5 -6 -7 -8 1 0 0 0 0 0 0 0
0 -1 -2 -3 -4 -5 -6 -7 -8 0 0 0 0 0 0 0 0
3.16667 -1 -2 -3 -4 -5 -6 -7 -8 2 0 0 0 0 0 0 0
3.16667 -1 -2 -3 -4 -5 -6 -7 -8 1 0 0 0 0 0 0 0
3.16667 -1 -2 -3 -4 -5 -6 -7 -8 0 0 0 0 0 0 0 0
6 -1 -2 -3 -4 -5 -6 -7 -8 0 0 0 0 0 0 0 0
6 -1 -2 -3 -4 -5 -6 -7 -8 0 0 0 0 0 0 0 0
6 -1 -2 -3 -4 -5 -6 -7 -8 1 0 0 0 0 0 0 0
18.5833 -1 -2 -3 -4 -5 -6 -7 -8 4 1 0 0 0 0 0 0
18.5833 -1 -2 -3 -4 -5 -6 -7 -8 4 1 0 0 0 0 0 0
18.5833 -1 -2 -3 -4 -5 -6 -7 -8 4 2 0 0 0 0 0 0
28.5 -3 -4 -5 -6 -7 -8 -9 -10 3 1 0 0 0 0 0 0
28.5 -3 -4 -5 -6 -7 -8 -9 -10 3 1 0 0 0 0 0 0
28.5 -3 -4 -5 -6 -7 -8 -9 -10 2 0 0 0 0 0 0 0
42.8667 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 1 0 0 0
42.8667 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 4 1 0 0
42.8667 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 0 0 0 0
53.3 -4 -5 -6 -7 -8 -9 -10 -11 4 4 2 0 0 0 0 0
53.3 -4 -5 -6 -7 -8 -9 -10 -11 4 4 1 0 0 0 0 0
53.3 -4 -5 -6 -7 -8 -9 -10 -11 4 4 1 0 0 0 0 0
66.5833 -4 -5 -6 -7 -8 -9 -10 -11 4 4 2 0 0 0 0 0
66.5833 -4 -5 -6 -7 -8 -9 -10 -11 4 4 3 0 0 0 0 0
66.5833 -4 -5 -6 -7 -8 -9 -10 -11 4 4 2 0 0 0 0 0
77.8333 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 4 3 0 0
77.8333 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 4 1 1 0
77.8333 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 4 0 0 0
91.6667 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 4 0 0 0
91.6667 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 4 0 0 0
91.6667 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 3 1 0 0
99.0833 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 3 1 0 0
99.0833 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 4 2 0 0
99.0833 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 4 1 0 0
147.833 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 2 1 0 0
147.833 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 1 0 0 0
147.833 -1 -2 -3 -4 -5 -6 -7 -8 4 4 4 4 1 0 0 0
